CTOD,Stress
1.092,7.5089
1.093,4.0272
1.101,4.7593
1.103,7.6223
1.104,7.3322
1.107,6.1598
1.107,8.5073
1.108,8.1095
1.11,8.7574
1.113,4.8754
1.116,6.9202
1.124,6.5301
1.124,7.4479
1.125,6.2163
1.126,4.6293
1.126,4.9173
1.127,6.852
1.139,8.323
1.14,6.1523
1.14,6.5376
1.14,6.9111
1.142,6.3818
1.144,6.0185
1.148,7.0385
1.152,5.1857
1.173,4.8407
1.176,4.6791
1.176,7.1572
1.182,4.772
1.187,7.4453
1.189,6.0334
1.191,6.6625
1.199,6.3633
1.209,6.4667
1.212,4.8576
1.222,8.554
1.222,8.8739
1.235,6.9155
1.242,6.9398
1.256,4.5364
1.261,4.5511
1.269,6.0265
1.269,8.1694
1.301,4.8528
1.307,5.0164
1.311,5.5791
1.312,6.6822
1.32,3.8608
1.321,5.4635
1.321,5.7366
1.322,7.4522
1.329,5.2647
1.329,5.2681
1.331,4.3305
1.332,5.5306
1.335,4.2588
1.338,8.6063
1.342,4.3735
1.374,5.9068
1.378,5.324
1.382,5.3152
1.383,4.7305
1.388,6.1104
1.402,6.1203
1.406,5.5451
1.412,4.9666
1.429,5.1798
1.436,5.5063
1.44,4.9594
1.446,4.5366
1.446,6.877
1.46,7.7982
1.464,5.1268
1.465,7.0381
1.466,5.3529
1.475,5.146
1.483,4.6644
1.492,4.7495
1.495,5.15
1.504,7.5064
1.518,5.563
1.518,5.8573
1.53,4.7401
1.538,4.9963
1.557,4.3207
1.563,4.7908
1.563,5.0921
1.571,4.9417
1.572,7.8643
1.575,5.2604
1.581,6.154
1.586,6.286
1.588,4.0496
1.598,5.5625
1.61,4.1614
1.624,4.0432
1.628,5.5843
1.636,2.7715
1.638,6.4595
1.639,3.173
1.647,4.2459
1.664,4.51
1.67,5.4653
1.679,5.0712
1.682,7.3365
1.684,4.6588
1.687,3.8878
1.691,4.2764
1.695,6.9279
1.696,3.2566
1.701,6.2955
1.705,4.0157
1.706,4.5969
1.709,5.2907
1.71,5.8838
1.714,5.5532
1.715,4.0605
1.719,3.6795
1.723,7.0842
1.731,5.8276
1.739,5.7247
1.745,6.0372
1.745,6.0734
1.754,3.994
1.766,4.639
1.769,4.6436
1.773,3.7658
1.773,4.2274
1.778,6.387
1.779,4.0155
1.791,3.9631
1.795,5.5095
1.796,5.2209
1.799,4.2162
1.8,3.9866
1.806,5.5127
1.807,4.3542
1.824,3.7102
1.841,4.907
1.866,5.3274
1.874,4.9738
1.874,4.99
1.875,5.3787
1.877,4.9607
1.889,5.9659
1.899,4.5263
1.901,3.8694
1.913,4.7931
1.928,4.9391
1.93,4.1615
1.939,4.8773
1.939,5.2562
1.95,2.9355
1.951,3.8158
1.962,2.4503
1.963,4.7114
1.963,5.9292
1.999,4.6918
2.006,3.3952
2.018,4.753
2.029,3.4048
2.031,5.4452
2.033,5.6332
2.041,3.784
2.046,4.8878
2.051,3.5552
2.061,5.0258
2.064,4.7575
2.075,4.3986
2.077,2.5233
2.082,4.9218
2.084,5.3216
2.09,3.6489
2.09,5.4308
2.09,6.1473
2.094,4.9589
2.097,4.9657
2.106,3.3541
2.117,5.2833
2.176,4.1233
2.181,5.5258
2.186,5.2591
2.219,5.2716
2.233,3.8264
2.253,5.1181
2.261,4.2186
2.279,4.432
2.305,3.8313
2.308,5.1674
2.332,5.258
2.338,5.1061
2.359,4.9377
2.385,4.7988
2.388,3.7512
2.405,4.4094
2.416,4.5612
2.417,4.9372
2.418,4.1596
2.459,3.6692
2.473,5.884
2.501,4.0603
2.534,3.0286
2.558,4.2663
2.586,3.3532
2.61,4.6783
2.63,3.8478
2.636,2.5279
2.646,3.8906
2.651,3.1194
2.673,2.8207
2.705,4.3361
2.706,3.4726
2.711,3.8643
2.718,3.381
2.719,2.3177
2.735,3.3138
2.753,3.0949
2.769,5.5898
2.79,2.4347
2.803,2.7871
2.805,3.5768
2.809,3.3591
2.819,3.3526
2.841,3.0258
2.869,2.9441
2.872,3.6403
